fdata;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/01/2010";"04:21:00";"18";"sem v�tima";"167";"BR-393/RJ";" Norte";"Derrapagem";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/01/2010";"00:05:00";"1";"sem v�tima";"285,5";"BR-393/RJ";" Norte";"Abalroamento transversal";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"02/01/2010";"19:29:00";"81";"com v�tima";"266,4";"BR-393/RJ";" Sul";"Derrapagem";0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
"03/01/2010";"02:55:00";"14";"com v�tima";"246,3";"BR-393/RJ";" Norte";"Abalroamento longitudinal";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"03/01/2010";"10:23:00";"44";"sem v�tima";"264";"BR-393/RJ";" Sul";"Capotamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"03/01/2010";"13:30:00";"66";"sem v�tima";"129,8";"BR-393/RJ";" Sul";"Colis�o traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"03/01/2010";"15:38:00";"80";"sem v�tima";"199,1";"BR-393/RJ";" Sul";"Derrapagem";0;0;0;0;0;0;0;0;0;1;4;0;0;0;0
"03/01/2010";"17:38:00";"90";"com v�tima";"142";"BR-393/RJ";" Norte";"Colis�o traseira";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"03/01/2010";"17:57:00";"95";"com v�tima";"283";"BR-393/RJ";" Norte";"Colis�o traseira";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"03/01/2010";"21:54:00";"123";"com v�tima";"144";"BR-393/RJ";" Norte";"Derrapagem";0;0;0;0;0;0;0;0;0;0;1;3;0;0;0
"04/01/2010";"10:56:00";"46";"sem v�tima";"103";"BR-393/RJ";" Norte";"Colis�o frontal";2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
