data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/06/2015";"12:04:00";"52";"com vítima";"334";"BR-101/RJ";"Norte";"Choque com objeto sobre a pista";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"01/06/2015";"13:02:00";"61";"com vítima";"327";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;0;0;0;0;0;1;1;0;1;0;0
"02/06/2015";"07:21:00";"17";"com vítima";"325";"BR-101/RJ";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/06/2015";"19:04:00";"82";"sem vítima";"328";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"04/06/2015";"06:09:00";"8";"com vítima";"334";"BR-101/RJ";"Sul";"Colisão - Traseira";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"04/06/2015";"17:41:00";"64";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"05/06/2015";"16:41:00";"68";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"06/06/2015";"07:24:00";"12";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"06/06/2015";"14:17:00";"47";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"06/06/2015";"22:32:00";"74";"sem vítima";"321";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"07/06/2015";"01:39:00";"4";"com vítima";"328";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;1;3;0;0;0
"07/06/2015";"11:26:00";"26";"sem vítima";"327";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"07/06/2015";"17:45:00";"61";"sem vítima";"332";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/06/2015";"07:55:00";"27";"com vítima";"321";"BR-101/RJ";"Sul";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"08/06/2015";"10:30:00";"47";"sem vítima";"329";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/06/2015";"19:11:00";"109";"sem vítima";"321";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/06/2015";"20:25:00";"115";"sem vítima";"322";"BR-101/RJ";"Norte";"Engavetamento";4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"10/06/2015";"17:47:00";"73";"com vítima";"325";"BR-101/RJ";"Norte";"Colisão - Traseira";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
"12/06/2015";"05:59:00";"10";"sem vítima";"327";"BR-101/RJ";"Sul";"Engavetamento";4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"12/06/2015";"08:12:00";"19";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Lateral";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"13/06/2015";"13:46:00";"48";"com vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"13/06/2015";"15:00:00";"57";"sem vítima";"324";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"13/06/2015";"16:24:00";"63";"sem vítima";"324";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"14/06/2015";"09:15:00";"31";"com vítima";"327";"BR-101/RJ";"Norte";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;1;0;0
"14/06/2015";"14:07:00";"52";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"14/06/2015";"18:12:00";"87";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"15/06/2015";"18:19:00";"89";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"16/06/2015";"20:36:00";"105";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"17/06/2015";"13:45:00";"57";"sem vítima";"324";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"17/06/2015";"15:18:00";"65";"sem vítima";"329";"BR-101/RJ";"Sul";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"17/06/2015";"17:03:00";"81";"com vítima";"322";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"18/06/2015";"03:09:00";"8";"com vítima";"331";"BR-101/RJ";"Sul";"Choque Defensa";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"18/06/2015";"18:25:00";"119";"sem vítima";"332";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"19/06/2015";"15:43:00";"80";"sem vítima";"324";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"19/06/2015";"21:25:00";"136";"sem vítima";"328";"BR-101/RJ";"Sul";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"21/06/2015";"00:09:00";"1";"sem vítima";"322";"BR-101/RJ";"Norte";"Choque Praça - Cabine";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"21/06/2015";"19:09:00";"68";"sem vítima";"331";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"22/06/2015";"07:46:00";"16";"com vítima";"332";"BR-101/RJ";"Sul";"Engavetamento";3;0;0;0;0;0;0;0;0;0;2;0;1;0;0
"23/06/2015";"17:08:00";"86";"sem vítima";"334";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"26/06/2015";"15:36:00";"62";"com vítima";"333";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;1;2;0;0;0
"27/06/2015";"15:52:00";"53";"com vítima";"334";"BR-101/RJ";"Norte";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"27/06/2015";"16:25:00";"55";"sem vítima";"334";"BR-101/RJ";"Norte";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"28/06/2015";"07:45:00";"15";"com vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"30/06/2015";"05:59:00";"9";"sem vítima";"330";"BR-101/RJ";"Sul";"Colisão - Transversal";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"01/07/2015";"06:25:00";"6";"sem vítima";"321";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"01/07/2015";"19:27:00";"93";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"02/07/2015";"18:26:00";"81";"com vítima";"334";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"03/07/2015";"16:06:00";"61";"sem vítima";"332";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"06/07/2015";"15:37:00";"51";"sem vítima";"331";"BR-101/RJ";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/07/2015";"05:52:00";"18";"sem vítima";"323";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"09/07/2015";"07:01:00";"12";"sem vítima";"321";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"10/07/2015";"14:28:00";"73";"sem vítima";"332";"BR-101/RJ";"Norte";"Colisão - Lateral";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/07/2015";"23:02:00";"134";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Lateral";0;0;1;0;1;0;0;0;0;0;2;0;0;0;0
"11/07/2015";"07:35:00";"11";"com vítima";"334";"BR-101/RJ";"Sul";"Colisão - Lateral";1;0;0;0;1;0;0;0;0;0;1;1;0;0;0
"11/07/2015";"09:13:00";"18";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"11/07/2015";"10:53:00";"23";"com vítima";"334";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"11/07/2015";"13:25:00";"38";"com vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"11/07/2015";"15:23:00";"51";"com vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"11/07/2015";"16:05:00";"54";"com vítima";"322";"BR-101/RJ";"Sul";"Colisão - Lateral";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"13/07/2015";"06:35:00";"9";"sem vítima";"330";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"13/07/2015";"13:27:00";"64";"sem vítima";"333";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"14/07/2015";"15:51:00";"66";"sem vítima";"321";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"14/07/2015";"16:13:00";"68";"sem vítima";"334";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"14/07/2015";"17:29:00";"78";"sem vítima";"332";"BR-101/RJ";"Sul";"Colisão - Traseira";0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
"15/07/2015";"05:31:00";"10";"com vítima";"326";"BR-101/RJ";"Sul";"Capotamento";1;0;0;0;1;0;0;0;0;0;1;0;1;0;0
"15/07/2015";"09:14:00";"41";"sem vítima";"329";"BR-101/RJ";"Sul";"Engavetamento";4;0;0;0;1;0;0;0;0;0;5;0;0;0;0
"15/07/2015";"10:05:00";"48";"sem vítima";"324";"BR-101/RJ";"Sul";"Colisão - Lateral";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"15/07/2015";"15:06:00";"101";"sem vítima";"324";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"15/07/2015";"16:45:00";"115";"com vítima";"324";"BR-101/RJ";"Norte";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"15/07/2015";"19:25:00";"134";"sem vítima";"323";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"17/07/2015";"16:27:00";"68";"sem vítima";"323";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"18/07/2015";"12:26:00";"40";"com vítima";"327";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"18/07/2015";"13:23:00";"47";"sem vítima";"328";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"18/07/2015";"14:07:00";"53";"sem vítima";"334";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"19/07/2015";"14:11:00";"38";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"21/07/2015";"05:11:00";"8";"sem vítima";"328";"BR-101/RJ";"Norte";"Tombamento";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"21/07/2015";"10:18:00";"41";"com vítima";"332";"BR-101/RJ";"Sul";"Colisão - Traseira";3;0;0;1;0;0;0;0;0;0;3;0;2;0;0
"23/07/2015";"12:57:00";"41";"com vítima";"327";"BR-101/RJ";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"24/07/2015";"06:03:00";"6";"com vítima";"330";"BR-101/RJ";"Norte";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"24/07/2015";"14:42:00";"63";"sem vítima";"328";"BR-101/RJ";"Norte";"Colisão - Lateral";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"24/07/2015";"15:24:00";"72";"sem vítima";"330";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"25/07/2015";"08:01:00";"11";"sem vítima";"323";"BR-101/RJ";"Norte";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"25/07/2015";"17:22:00";"69";"com vítima";"326";"BR-101/RJ";"Norte";"Colisão - Traseira";0;0;0;1;1;0;0;0;0;0;1;2;0;0;0
"25/07/2015";"21:35:00";"88";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"26/07/2015";"06:38:00";"12";"com vítima";"325";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;0;0;4;0;0
"27/07/2015";"08:49:00";"19";"sem vítima";"334";"BR-101/RJ";"Sul";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"27/07/2015";"17:53:00";"78";"sem vítima";"334";"BR-101/RJ";"Sul";"Engavetamento";2;0;0;0;1;0;0;0;0;0;3;0;0;0;0
"28/07/2015";"07:29:00";"19";"sem vítima";"322";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"28/07/2015";"13:48:00";"58";"com vítima";"334";"BR-101/RJ";"Sul";"Colisão - Lateral";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"28/07/2015";"15:03:00";"64";"com vítima";"334";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"29/07/2015";"13:34:00";"57";"sem vítima";"333";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"29/07/2015";"14:43:00";"63";"sem vítima";"322";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"30/07/2015";"18:07:00";"100";"sem vítima";"332";"BR-101/RJ";"Norte";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"31/07/2015";"12:54:00";"47";"com vítima";"334";"BR-101/RJ";"Sul";"Colisão - Transversal";1;0;0;0;2;0;0;0;0;0;2;0;1;1;0
"31/07/2015";"14:50:00";"62";"sem vítima";"329";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"31/07/2015";"16:39:00";"77";"com vítima";"323";"BR-101/RJ";"Norte";"Colisão - Lateral";2;0;1;1;0;0;0;0;0;0;3;1;0;0;0
"01/08/2015";"10:34:00";"31";"sem vítima";"325,7";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"01/08/2015";"11:53:00";"38";"com vítima";"325";"BR-101/RJ";"Norte";"Engavetamento";4;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"01/08/2015";"12:14:00";"40";"sem vítima";"322,5";"BR-101/RJ";"Norte";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01/08/2015";"14:40:00";"57";"com vítima";"321";"BR-101/RJ";"Sul";"Queda de moto";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"02/08/2015";"08:10:00";"12";"com vítima";"332,5";"BR-101/RJ";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/08/2015";"12:36:00";"41";"com vítima";"330";"BR-101/RJ";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/08/2015";"15:40:00";"60";"com vítima";"328";"BR-101/RJ";"Norte";"Choque Defensa";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"02/08/2015";"16:01:00";"61";"com vítima";"322,5";"BR-101/RJ";"Sul";"Colisão - Transversal";1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/08/2015";"17:36:00";"70";"sem vítima";"327,5";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"03/08/2015";"16:19:00";"78";"com vítima";"324,5";"BR-101/RJ";"Norte";"Colisão - Traseira";1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"03/08/2015";"17:21:00";"88";"sem vítima";"324";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/08/2015";"14:01:00";"49";"com vítima";"334";"BR-101/RJ";"Norte";"Colisão - Lateral";0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
"05/08/2015";"07:15:00";"18";"com vítima";"328,5";"BR-101/RJ";"Sul";"Colisão - Traseira";2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"05/08/2015";"07:41:00";"21";"sem vítima";"330,7";"BR-101/RJ";"Norte";"Engavetamento";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"05/08/2015";"14:41:00";"67";"com vítima";"325";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"07/08/2015";"05:10:00";"5";"com vítima";"333,7";"BR-101/RJ";"Sul";"Colisão - Traseira";1;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"08/08/2015";"05:52:00";"9";"com vítima";"334";"BR-101/RJ";"Sul";"Choque Defensa";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"08/08/2015";"20:00:00";"76";"sem vítima";"325,5";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"12/08/2015";"18:19:00";"86";"sem vítima";"328,5";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"14/08/2015";"18:06:00";"84";"sem vítima";"328,5";"BR-101/RJ";"Norte";"Colisão - Lateral";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"15/08/2015";"12:40:00";"52";"sem vítima";"323,9";"BR-101/RJ";"Norte";"Colisão - Traseira";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
