data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"02/09/2020";"20:53:00";"280";"ac02 - Aci";"102";"BR-364/GO";"Leste";"Colisão lateral no sentido contrário";2;0;0;0;0;0;0;0;0;0;2;0;1;0;0
"03/09/2020";"08:12:00";"65";"ac02 - Aci";"751";"BR-365/MG";"Leste";"Choque - Defensa metálica";0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
"03/09/2020";"18:47:00";"235";"ac02 - Aci";"836";"BR-365/MG";"Oeste";"Atropelamento de Animal";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"04/09/2020";"10:49:00";"121";"ac03 - Aci";"653";"BR-365/MG";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/09/2020";"02:05:00";"12";"ac02 - Aci";"820";"BR-365/MG";"Oeste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;2;1;0;0
"07/09/2020";"11:37:00";"86";"ac03 - Aci";"764";"BR-365/MG";"Leste";"Choque - Talude";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"07/09/2020";"18:36:00";"200";"ac02 - Aci";"116,5";"BR-364/GO";"Oeste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
"09/09/2020";"07:19:00";"37";"ac02 - Aci";"658";"BR-365/MG";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"10/09/2020";"22:32:00";"267";"ac03 - Aci";"706,499";"BR-365/MG";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"11/09/2020";"16:59:00";"201";"ac02 - Aci";"66";"BR-364/GO";"Leste";"Capotamento";0;0;0;0;0;0;0;0;0;1;0;0;2;0;0
"12/09/2020";"11:11:00";"126";"ac03 - Aci";"647";"BR-365/MG";"Leste";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"12/09/2020";"21:37:00";"280";"ac02 - Aci";"664,9";"BR-365/MG";"Leste";"Choque - Poste";1;0;0;0;0;0;0;0;0;0;0;2;1;0;0
"14/09/2020";"06:08:00";"40";"ac02 - Aci";"105";"BR-364/GO";"Oeste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"16/09/2020";"04:12:00";"29";"ac02 - Aci";"646";"BR-365/MG";"Oeste";"Tombamento";0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"16/09/2020";"18:51:00";"272";"ac02 - Aci";"765";"BR-365/MG";"Leste";"Colisão Frontal";0;0;0;0;0;0;0;0;0;2;0;1;1;0;0
