data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"02/07/2025";"12:27:00";"6";"Com vítima";"272,000";"BR-381/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"02/07/2025";"16:31:00";"7";"Com vítima";"247,000";"BR-381/MG";"Decrescente";"Engavetamento";3;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"04/07/2025";"07:57:00";"1";"Sem vítima";"360,000";"BR-381/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/07/2025";"12:12:00";"17";"Com vítima";"356,000";"BR-381/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"05/07/2025";"00:00:00";"17";"Sem vítima";"250,000";"BR-381/MG";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/07/2025";"08:26:00";"6";"Sem vítima";"158,000";"BR-381/MG";"Decrescente";"Colisão lateral no mesmo sentido";2;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"06/07/2025";"12:20:00";"20";"Com vítima";"216,000";"BR-381/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"07/07/2025";"00:00:00";"3";"Com vítima";"354,000";"BR-381/MG";"Crescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"07/07/2025";"11:38:00";"22";"Com vítima";"241,000";"BR-381/MG";"Crescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"07/07/2025";"12:17:00";"23";"Com vítima";"289,000";"BR-381/MG";"Crescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"07/07/2025";"14:53:00";"26";"Com vítima";"292,000";"BR-381/MG";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"08/07/2025";"13:12:00";"28";"Com vítima";"410,000";"BR-381/MG";"Decrescente";"Engavetamento";4;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"10/07/2025";"07:26:00";"1";"Com vítima";"340,000";"BR-381/MG";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"10/07/2025";"16:17:00";"47";"Com vítima";"342,000";"BR-381/MG";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"11/07/2025";"00:00:00";"1";"Sem vítima";"418,600";"BR-381/MG";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11/07/2025";"08:00:00";"4";"Sem vítima";"303,000";"BR-381/MG";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11/07/2025";"08:46:00";"7";"Sem vítima";"360,000";"BR-381/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12/07/2025";"00:00:00";"5";"Sem vítima";"178,000";"BR-381/MG";"Decrescente";"Engavetamento";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"12/07/2025";"12:25:00";"27";"Sem vítima";"242,000";"BR-381/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"12/07/2025";"13:45:00";"29";"Sem vítima";"371,000";"BR-381/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12/07/2025";"15:38:00";"32";"Sem vítima";"308,000";"BR-381/MG";"Decrescente";"Saída de pista";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"13/07/2025";"16:17:00";"15";"Sem vítima";"218,000";"BR-381/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14/07/2025";"09:21:00";"5";"Sem vítima";"292,000";"BR-381/MG";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"15/07/2025";"08:12:00";"2";"Sem vítima";"305,000";"BR-381/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15/07/2025";"09:05:00";"3";"Sem vítima";"305,000";"BR-381/MG";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
