data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"16/05/2025";"13:13:00";"147";"Com vítima";"35,000";"323/PR";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"16/05/2025";"16:59:00";"190";"Sem vítima";"77,000";"445/PR";"Decrescente";"Engavetamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16/05/2025";"18:55:00";"210";"Com vítima";"66,000";"445/PR";"Decrescente";"Acidentes de outra natureza";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"17/05/2025";"00:00:00";"62";"Com vítima";"76,000";"445/PR";"Crescente";"Colisão lateral em sentido contrário";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"17/05/2025";"05:00:00";"32";"Com vítima";"212,000";"BR-376/PR";"Decrescente";"Capotamento";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"17/05/2025";"06:49:00";"35";"Sem vítima";"48,000";"323/PR";"Decrescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17/05/2025";"09:25:00";"64";"Sem vítima";"320,000";"BR-376/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"17/05/2025";"15:05:00";"130";"Com vítima";"398,000";"BR-376/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"18/05/2025";"06:01:00";"42";"Com vítima";"309,000";"BR-376/PR";"Crescente";"Colisão lateral em sentido contrário";1;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"18/05/2025";"16:11:00";"181";"Com vítima";"528,500";"BR-376/PR";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"18/05/2025";"17:39:00";"203";"Sem vítima";"61,000";"445/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"18/05/2025";"21:05:00";"232";"Com vítima";"495,000";"BR-376/PR";"Crescente";"Atropelamento de pedestre";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"19/05/2025";"00:00:00";"51";"Com vítima";"445,000";"BR-376/PR";"Crescente";"Acidentes de outra natureza";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"19/05/2025";"00:00:00";"131";"Com vítima";"451,300";"BR-376/PR";"Crescente";"Tombamento";0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
"19/05/2025";"04:50:00";"23";"Com vítima";"36,000";"323/PR";"Crescente";"Colisão lateral em sentido contrário";1;0;0;0;0;0;0;1;0;0;1;0;0;2;0
"19/05/2025";"06:18:00";"28";"Sem vítima";"379,000";"BR-376/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"19/05/2025";"08:17:00";"49";"Com vítima";"451,000";"BR-376/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"19/05/2025";"15:28:00";"136";"Com vítima";"439,000";"BR-376/PR";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"19/05/2025";"18:59:00";"170";"Com vítima";"82,800";"445/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"20/05/2025";"08:57:00";"63";"Sem vítima";"501,100";"BR-376/PR";"Crescente";"Colisão lateral em sentido contrário";1;0;0;0;0;0;0;1;0;0;2;0;0;0;0
"21/05/2025";"22:09:00";"206";"Sem vítima";"213,300";"BR-376/PR";"Crescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"22/05/2025";"00:00:00";"234";"Com vítima";"325,000";"BR-376/PR";"Crescente";"Colisão transversal";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"22/05/2025";"00:12:00";"4";"Sem vítima";"0,000";"445/PR";"Crescente";"Acidentes de outra natureza";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"22/05/2025";"00:45:00";"15";"Sem vítima";"545,200";"BR-376/PR";"Decrescente";"Acidentes de outra natureza";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22/05/2025";"04:59:00";"40";"Sem vítima";"515,000";"BR-376/PR";"Crescente";"Colisão frontal";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"22/05/2025";"15:55:00";"201";"Sem vítima";"347,000";"BR-376/PR";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"22/05/2025";"17:59:00";"231";"Sem vítima";"531,000";"BR-376/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"23/05/2025";"00:00:00";"166";"Com vítima";"395,000";"BR-376/PR";"Decrescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"23/05/2025";"00:00:00";"171";"Sem vítima";"458,000";"BR-376/PR";"Decrescente";"Colisão traseira";0;0;1;0;0;0;0;1;0;0;2;0;0;0;0
"23/05/2025";"06:48:00";"36";"Sem vítima";"276,000";"BR-376/PR";"Decrescente";"Choque";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"23/05/2025";"07:27:00";"45";"Sem vítima";"32,000";"323/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"23/05/2025";"07:59:00";"52";"Sem vítima";"443,000";"BR-376/PR";"Decrescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"23/05/2025";"20:42:00";"193";"Com vítima";"264,000";"BR-376/PR";"Crescente";"Choque";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"24/05/2025";"00:00:00";"19";"Com vítima";"506,000";"BR-376/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"25/05/2025";"03:19:00";"21";"Com vítima";"82,000";"445/PR";"Decrescente";"Atropelamento de pedestre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"25/05/2025";"18:32:00";"147";"Com vítima";"232,000";"BR-376/PR";"Crescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"26/05/2025";"07:47:00";"30";"Com vítima";"252,500";"BR-376/PR";"Decrescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"26/05/2025";"22:23:00";"196";"Sem vítima";"436,200";"BR-376/PR";"Decrescente";"Colisão traseira";0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
"27/05/2025";"02:28:00";"8";"Com vítima";"515,000";"BR-376/PR";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;1;0;0;1;0;1;0;0
"27/05/2025";"08:03:00";"45";"Sem vítima";"515,000";"BR-376/PR";"Crescente";"Colisão frontal";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27/05/2025";"18:28:00";"170";"Com vítima";"510,000";"BR-376/PR";"Crescente";"Choque";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"28/05/2025";"00:00:00";"221";"Com vítima";"521,000";"BR-376/PR";"Decrescente";"Tombamento";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"28/05/2025";"04:38:00";"23";"Com vítima";"343,000";"BR-376/PR";"Crescente";"Tombamento";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"28/05/2025";"06:22:00";"151";"Com vítima";"299,000";"BR-376/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"28/05/2025";"07:55:00";"49";"Com vítima";"411,000";"BR-376/PR";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;1;0;0;1;0;1;0;0
"28/05/2025";"10:01:00";"83";"Sem vítima";"463,000";"BR-376/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28/05/2025";"10:09:00";"85";"Sem vítima";"263,000";"BR-376/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"28/05/2025";"10:32:00";"89";"Com vítima";"263,000";"BR-376/PR";"Decrescente";"Acidentes de outra natureza";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"28/05/2025";"18:55:00";"185";"Sem vítima";"82,000";"445/PR";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28/05/2025";"21:03:00";"207";"Com vítima";"239,000";"BR-376/PR";"Decrescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
