data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/03/2022";"00:57:00";"28";"Acidente c";"293";"BR-116/RJ";"Norte";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"01/03/2022";"03:19:00";"56";"Acidente s";"6,5";"BR-116/SP";"Norte";"Choque em objeto fixo";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2022";"06:22:00";"88";"Acidente c";"181,2";"BR-116/RJ";"Norte";"Queda de Carga";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"01/03/2022";"07:37:00";"120";"Acidente s";"155,7";"BR-116/SP";"Sul";"Choque em objeto fixo";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2022";"08:20:00";"148";"Acidente s";"204,5";"BR-116/SP";"Norte";"Engavetamento";4;0;0;0;0;1;0;0;0;0;7;0;0;0;0
"01/03/2022";"10:20:00";"196";"Acidente s";"101";"BR-116/SP";"Norte";"Engavetamento";4;0;0;0;0;1;0;0;0;0;10;0;0;0;0
"01/03/2022";"11:49:00";"238";"Atropelame";"101";"BR-116/SP";"Norte";"Atropelamento de pedestre caminhando";0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
"01/03/2022";"13:30:00";"295";"Acidente s";"182,3";"BR-116/SP";"Norte";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"01/03/2022";"17:58:00";"456";"Acidente c";"178,6";"BR-116/RJ";"Norte";"Colisão traseira";0;0;0;2;0;0;0;0;0;0;0;4;0;0;0
"01/03/2022";"18:57:00";"480";"Acidente c";"205,49";"BR-116/RJ";"Sul";"Choque Talude";1;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"01/03/2022";"19:25:00";"502";"Atropelame";"290,3";"BR-116/RJ";"Sul";"Atropelamento de pedestre atravessando";1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"01/03/2022";"19:58:00";"518";"Acidente s";"15,8";"BR-116/SP";"Norte";"Choque em objeto na pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2022";"20:33:00";"539";"Acidente s";"266,4";"BR-116/RJ";"Sul";"Choque em barreira New Jersey";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"01/03/2022";"20:40:00";"544";"Acidente s";"15,5";"BR-116/SP";"Sul";"Choque em objeto na pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2022";"22:08:00";"578";"Atropelame";"166,2";"BR-116/RJ";"Norte";"Atropelamento de pedestre caminhando";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"01/03/2022";"23:20:00";"600";"Acidente s";"318,9";"BR-116/RJ";"Norte";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"02/03/2022";"02:06:00";"39";"Acidente s";"13,9";"BR-116/SP";"Sul";"Abalroamento longitudinal";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"02/03/2022";"03:37:00";"63";"Acidente s";"228,8";"BR-116/SP";"Norte";"Capotamento";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"02/03/2022";"05:12:00";"81";"Acidente c";"221,7";"BR-116/SP";"Sul";"Colisão traseira";2;0;0;1;0;0;0;0;0;0;2;0;1;1;0
"02/03/2022";"07:34:00";"138";"Acidente c";"99";"BR-116/SP";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/03/2022";"08:34:00";"184";"Acidente s";"229,7";"BR-116/SP";"Sul";"Colisão traseira";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"02/03/2022";"09:09:00";"203";"Acidente s";"272";"BR-116/RJ";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/03/2022";"09:50:00";"229";"Acidente s";"146";"BR-116/SP";"Sul";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"02/03/2022";"12:08:00";"325";"Acidente s";"148,1";"BR-116/SP";"Sul";"Choque em barreira New Jersey";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"02/03/2022";"14:50:00";"429";"Acidente c";"209,8";"BR-116/SP";"Sul";"Engavetamento";3;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"02/03/2022";"14:52:00";"431";"Acidente s";"230,5";"BR-116/SP";"Norte";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"02/03/2022";"15:05:00";"437";"Acidente s";"166,8";"BR-116/SP";"Sul";"Colisão traseira";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"02/03/2022";"16:52:00";"501";"Acidente s";"170";"BR-116/RJ";"Sul";"Engavetamento";3;0;0;0;0;1;0;0;0;0;4;0;0;0;0
"02/03/2022";"17:05:00";"509";"Acidente s";"175";"BR-116/RJ";"Sul";"Colisão traseira";1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
"02/03/2022";"17:18:00";"519";"Acidente s";"209";"BR-116/SP";"Norte";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"02/03/2022";"17:22:00";"523";"Acidente c";"216,8";"BR-116/SP";"Norte";"Engavetamento";2;0;0;1;0;0;0;0;0;0;2;2;0;0;0
"02/03/2022";"18:05:00";"549";"Acidente c";"182,3";"BR-116/RJ";"Norte";"Engavetamento";3;0;0;0;0;0;0;0;0;1;2;3;0;0;0
"02/03/2022";"22:06:00";"686";"Acidente s";"209,8";"BR-116/SP";"Sul";"Choque em objeto na pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"02/03/2022";"22:33:00";"694";"Acidente c";"179,6";"BR-116/RJ";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"02/03/2022";"23:00:00";"704";"Acidente c";"211,3";"BR-116/SP";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"02/03/2022";"23:33:00";"707";"Acidente s";"90";"BR-116/SP";"Sul";"Atropelamento de animal";1;0;1;0;0;0;0;0;0;0;6;0;0;0;0
"03/03/2022";"00:38:00";"29";"Acidente c";"188,1";"BR-116/SP";"Sul";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;0;2;0;0;0
"03/03/2022";"02:31:00";"50";"Acidente s";"273,3";"BR-116/RJ";"Norte";"Atropelamento de animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/03/2022";"05:39:00";"103";"Atropelame";"108,5";"BR-116/SP";"Sul";"Atropelamento de pedestre caminhando";0;0;0;0;0;0;0;0;0;1;3;0;1;0;0
"03/03/2022";"06:43:00";"144";"Acidente s";"98,8";"BR-116/SP";"Sul";"Choque em barreira New Jersey";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"03/03/2022";"07:31:00";"189";"Acidente c";"230,6";"BR-116/SP";"Sul";"Colisão traseira";1;0;0;1;0;0;0;0;0;1;2;0;0;1;0
"03/03/2022";"07:55:00";"210";"Acidente c";"181,1";"BR-116/RJ";"Norte";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"03/03/2022";"10:35:00";"322";"Acidente c";"219";"BR-116/SP";"Sul";"Colisão traseira";0;1;1;0;0;0;0;0;0;0;2;1;0;0;0
"03/03/2022";"11:46:00";"366";"Acidente c";"226,1";"BR-116/SP";"Sul";"Colisão traseira";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"03/03/2022";"12:55:00";"399";"Acidente s";"69";"BR-116/SP";"Norte";"Abalroamento longitudinal";1;0;1;0;0;0;0;0;0;0;6;0;0;0;0
"03/03/2022";"15:55:00";"513";"Acidente c";"167,1";"BR-116/SP";"Norte";"Choque em objeto fixo";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"03/03/2022";"16:55:00";"546";"Acidente s";"175,2";"BR-116/RJ";"Sul";"Choque em barreira New Jersey";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"03/03/2022";"17:26:00";"566";"Acidente c";"210,2";"BR-116/SP";"Norte";"Colisão traseira";0;0;0;0;1;0;0;0;0;1;16;1;1;0;0
"03/03/2022";"23:23:00";"729";"Acidente s";"155,5";"BR-116/SP";"Sul";"Choque em objeto na pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"04/03/2022";"02:21:00";"36";"Acidente c";"210";"BR-116/SP";"Sul";"Abalroamento longitudinal";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"04/03/2022";"03:43:00";"52";"Acidente s";"230";"BR-116/RJ";"Norte";"Choque em barreira New Jersey";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"04/03/2022";"04:44:00";"65";"Acidente s";"181";"BR-116/SP";"Norte";"Atropelamento de animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"04/03/2022";"06:47:00";"116";"Acidente c";"139,9";"BR-116/SP";"Sul";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
