data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"19/11/2022";"11:14:00";"67";"AC03-ACIDE";"598,415";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"19/11/2022";"11:36:00";"70";"AC02-ACIDE";"272,273";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"19/11/2022";"19:56:00";"132";"AC03-ACIDE";"1034";"BR-163/MT";"Norte";"Colisão Traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"19/11/2022";"23:14:00";"143";"AC03-ACIDE";"517";"BR-163/PA";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"19/11/2022";"23:49:00";"142";"AC03-ACIDE";"65,129";"BR-163/PA";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"20/11/2022";"15:05:00";"174";"AC03-ACIDE";"1086,80";"BR-163/MT";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"20/11/2022";"19:29:00";"209";"AC03-ACIDE";"160,7";"BR-163/PA";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"21/11/2022";"04:53:00";"20";"AC03-ACIDE";"450,17";"BR-163/PA";"Norte";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"21/11/2022";"15:04:00";"141";"AC03-ACIDE";"217,287";"BR-163/PA";"Sul";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"22/11/2022";"04:06:00";"23";"AC03-ACIDE";"935,05";"BR-163/MT";"Norte";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"22/11/2022";"10:09:00";"95";"AC02-ACIDE";"130,725";"BR-163/PA";"Norte";"Capotamento";1;0;0;0;0;1;0;0;0;0;3;2;0;0;0
"23/11/2022";"15:45:00";"122";"AC03-ACIDE";"1075,3";"BR-163/MT";"Norte";"Tombamento";0;0;1;0;0;3;0;0;0;0;4;0;0;0;0
"24/11/2022";"12:41:00";"111";"AC02-ACIDE";"899,368";"BR-163/MT";"Norte";"Colisão Frontal";1;0;1;0;0;2;0;0;0;0;3;0;0;1;0
"24/11/2022";"22:43:00";"178";"AC03-ACIDE";"909";"BR-163/MT";"Norte";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"24/11/2022";"22:53:00";"180";"AC03-ACIDE";"666,071";"BR-163/PA";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"25/11/2022";"01:51:00";"13";"AC03-ACIDE";"860,472";"BR-163/MT";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"25/11/2022";"08:42:00";"54";"AC02-ACIDE";"658";"BR-163/PA";"Norte";"Colisão Frontal";1;0;0;0;0;0;0;0;0;1;1;0;1;0;0
"25/11/2022";"15:32:00";"166";"AC03-ACIDE";"464,427";"BR-163/PA";"Sul";"Colisão Traseira";0;0;2;0;0;1;0;0;0;0;3;0;0;0;0
"25/11/2022";"16:32:00";"174";"AC03-ACIDE";"894,6";"BR-163/MT";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"25/11/2022";"19:49:00";"198";"AC02-ACIDE";"107,974";"BR-163/PA";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"25/11/2022";"21:28:00";"211";"AC03-ACIDE";"313,1";"BR-163/PA";"Norte";"Choque - Suporte de Sinalização";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"26/11/2022";"13:54:00";"128";"AC02-ACIDE";"1009,78";"BR-163/MT";"Norte";"Colisão Transversal";1;0;1;0;0;0;0;0;0;0;4;1;0;0;0
"26/11/2022";"15:55:00";"151";"AC03-ACIDE";"949";"BR-163/MT";"Norte";"Colisão Traseira";1;0;0;0;0;0;0;0;0;2;5;0;0;0;0
"26/11/2022";"17:43:00";"173";"AC03-ACIDE";"160,491";"BR-163/PA";"Norte";"Colisão Frontal";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"26/11/2022";"19:32:00";"183";"AC02-ACIDE";"1123,63";"BR-230/PA";"Leste";"Choque - Outros";0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
"27/11/2022";"03:25:00";"20";"AC02-ACIDE";"1037,08";"BR-163/MT";"Norte";"Choque - Veiculo parado na pista";2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"27/11/2022";"12:11:00";"111";"AC03-ACIDE";"654";"BR-163/PA";"Norte";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"27/11/2022";"13:21:00";"119";"AC02-ACIDE";"362,359";"BR-163/PA";"Sul";"Colisão Lateral";0;0;1;0;0;0;0;0;0;1;0;3;0;1;0
"28/11/2022";"09:35:00";"87";"AC02-ACIDE";"244,971";"BR-163/PA";"Sul";"Colisão Traseira";0;0;2;0;0;1;0;0;0;0;2;1;0;0;0
"29/11/2022";"00:25:00";"3";"AC03-ACIDE";"855,155";"BR-163/MT";"Sul";"Choque - Talude";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"29/11/2022";"15:46:00";"207";"AC02-ACIDE";"465,1";"BR-163/PA";"Norte";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
"29/11/2022";"16:19:00";"209";"AC02-ACIDE";"522,798";"BR-163/PA";"Norte";"Saida de Pista";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"30/11/2022";"05:35:00";"52";"AC03-ACIDE";"955,19";"BR-163/MT";"Sul";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"30/11/2022";"05:44:00";"53";"AC02-ACIDE";"10,339";"BR-163/PA";"Sul";"Colisão Lateral";0;0;1;0;0;1;0;0;0;1;2;0;0;1;0
"30/11/2022";"20:09:00";"184";"AC03-ACIDE";"983";"BR-163/MT";"Norte";"Tombamento";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"30/11/2022";"22:30:00";"192";"AC03-ACIDE";"403";"BR-163/PA";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;4;0;0;0;0
"01/12/2022";"07:33:00";"46";"AC03-ACIDE";"1127,9";"BR-230/PA";"Leste";"Colisão Traseira";0;0;2;0;0;1;0;0;0;0;2;0;0;0;0
"01/12/2022";"13:56:00";"135";"AC03-ACIDE";"238";"BR-163/PA";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/12/2022";"18:32:00";"178";"AC03-ACIDE";"1035,00";"BR-163/MT";"Norte";"Colisão Traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/12/2022";"00:20:00";"6";"AC02-ACIDE";"514";"BR-163/PA";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"02/12/2022";"21:28:00";"224";"AC03-ACIDE";"1033,78";"BR-163/MT";"Sul";"Engavetamento";4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"03/12/2022";"06:13:00";"32";"AC03-ACIDE";"1030,33";"BR-163/MT";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"03/12/2022";"13:05:00";"126";"AC02-ACIDE";"939";"BR-163/MT";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"03/12/2022";"16:30:00";"166";"AC03-ACIDE";"444,994";"BR-163/PA";"Norte";"Colisão Traseira";0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
"03/12/2022";"19:01:00";"180";"AC02-ACIDE";"264";"BR-163/PA";"Norte";"Choque - Veiculo parado no acostamento";1;0;0;0;0;1;0;0;0;1;2;0;1;0;0
"03/12/2022";"20:21:00";"188";"AC03-ACIDE";"240";"BR-163/PA";"Sul";"Colisão Lateral";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"04/12/2022";"06:25:00";"30";"AC03-ACIDE";"157";"BR-163/PA";"Sul";"Colisão Lateral";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"04/12/2022";"21:45:00";"166";"AC03-ACIDE";"317,74";"BR-163/PA";"Sul";"Saida de Pista";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"05/12/2022";"13:13:00";"146";"AC03-ACIDE";"1035";"BR-163/MT";"Norte";"Colisão Traseira";0;0;0;0;1;0;0;0;0;1;26;0;0;0;0
