data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"11/03/2025";"01:28:00";"23";"Sem vítima";"474,700";"BR-040/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"11/03/2025";"04:27:00";"51";"Sem vítima";"420,600";"BR-040/MG";"Decrescente";"Atropelamento de animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"11/03/2025";"16:44:00";"216";"Sem vítima";"480,500";"BR-040/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"12/03/2025";"05:57:00";"51";"Sem vítima";"517,600";"BR-040/MG";"Decrescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12/03/2025";"08:27:00";"79";"Sem vítima";"533,150";"BR-040/MG";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"12/03/2025";"20:58:00";"162";"Com vítima";"276,000";"BR-040/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"13/03/2025";"00:00:00";"68";"Com vítima";"471,500";"BR-040/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;0;1;1;0;0;0;0;0;0;1;0;0;1;0
"13/03/2025";"00:50:00";"3";"Com vítima";"532,100";"BR-040/MG";"Decrescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;1;0;1;1;0;0
"14/03/2025";"00:00:00";"74";"Sem vítima";"533,150";"BR-040/MG";"Crescente";"Colisão traseira";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"14/03/2025";"07:45:00";"72";"Com vítima";"175,500";"BR-040/MG";"Decrescente";"Colisão frontal";0;0;1;0;0;0;0;0;0;0;0;1;0;1;0
"14/03/2025";"13:38:00";"103";"Com vítima";"497,800";"BR-040/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"14/03/2025";"14:00:00";"107";"Com vítima";"450,300";"BR-040/MG";"Decrescente";"Choque";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"14/03/2025";"15:10:00";"121";"Sem vítima";"245,600";"BR-040/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"14/03/2025";"18:13:00";"129";"Com vítima";"426,300";"BR-040/MG";"Decrescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"15/03/2025";"10:00:00";"59";"Sem vítima";"531,000";"BR-040/MG";"Crescente";"Engavetamento";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15/03/2025";"12:23:00";"82";"Sem vítima";"506,000";"BR-040/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15/03/2025";"20:30:00";"138";"Com vítima";"76,100";"BR-040/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"16/03/2025";"12:53:00";"68";"Com vítima";"476,500";"BR-040/MG";"Decrescente";"Choque";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"16/03/2025";"14:36:00";"78";"Sem vítima";"444,500";"BR-040/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16/03/2025";"15:24:00";"87";"Com vítima";"126,300";"BR-040/GO";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"16/03/2025";"16:00:00";"95";"Com vítima";"236,600";"BR-040/MG";"Decrescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"16/03/2025";"21:12:00";"124";"Sem vítima";"493,300";"BR-040/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18/03/2025";"00:00:00";"65";"Sem vítima";"519,300";"BR-040/MG";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18/03/2025";"00:00:00";"109";"Com vítima";"505,500";"BR-040/MG";"Crescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"18/03/2025";"17:44:00";"138";"Com vítima";"529,100";"BR-040/MG";"Decrescente";"Colisão traseira";0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
"18/03/2025";"18:58:00";"145";"Com vítima";"43,500";"BR-040/MG";"Decrescente";"Colisão transversal";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"18/03/2025";"19:19:00";"148";"Sem vítima";"500,010";"BR-040/MG";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"18/03/2025";"21:00:00";"159";"Sem vítima";"450,800";"BR-040/MG";"Decrescente";"Choque";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"19/03/2025";"00:00:00";"90";"Sem vítima";"520,600";"BR-040/MG";"Decrescente";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"19/03/2025";"00:56:00";"4";"Sem vítima";"485,500";"BR-040/MG";"Crescente";"Choque";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19/03/2025";"04:25:00";"48";"Sem vítima";"430,900";"BR-040/MG";"Decrescente";"Tombamento";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"19/03/2025";"07:42:00";"66";"Sem vítima";"508,300";"BR-040/MG";"Decrescente";"Choque";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"19/03/2025";"20:09:00";"190";"Com vítima";"43,100";"BR-040/MG";"Decrescente";"Colisão frontal";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"19/03/2025";"20:14:00";"192";"Sem vítima";"137,500";"BR-040/MG";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"20/03/2025";"00:00:00";"138";"Com vítima";"530,050";"BR-040/MG";"Decrescente";"Engavetamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"20/03/2025";"00:00:00";"154";"Com vítima";"519,550";"BR-040/MG";"Decrescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"20/03/2025";"03:10:00";"24";"Com vítima";"414,200";"BR-040/MG";"Decrescente";"Choque";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"20/03/2025";"07:56:00";"71";"Sem vítima";"516,000";"BR-040/MG";"Decrescente";"Colisão traseira";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"20/03/2025";"07:57:00";"72";"Com vítima";"527,850";"BR-040/MG";"Crescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"20/03/2025";"09:52:00";"91";"Sem vítima";"472,180";"BR-040/MG";"Decrescente";"Choque";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"20/03/2025";"15:12:00";"127";"Sem vítima";"43,800";"BR-040/MG";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20/03/2025";"15:29:00";"129";"Com vítima";"446,050";"BR-040/MG";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
"20/03/2025";"16:39:00";"135";"Com vítima";"528,600";"BR-040/MG";"Decrescente";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
"21/03/2025";"00:00:00";"25";"Sem vítima";"323,600";"BR-040/MG";"Decrescente";"Atropelamento de animal";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"21/03/2025";"00:00:00";"115";"Sem vítima";"510,100";"BR-040/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"21/03/2025";"00:00:00";"124";"Com vítima";"517,100";"BR-040/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"21/03/2025";"00:00:00";"127";"Com vítima";"142,200";"BR-040/MG";"Decrescente";"Colisão transversal";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"21/03/2025";"06:32:00";"58";"Com vítima";"524,300";"BR-040/MG";"Crescente";"Atropelamento de pedestre";0;0;0;1;0;0;0;0;0;0;1;2;0;0;0
"21/03/2025";"07:52:00";"71";"Sem vítima";"471,100";"BR-040/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;1;0;0;2;0;0;0;0
"21/03/2025";"12:29:00";"101";"Sem vítima";"495,200";"BR-040/MG";"Crescente";"Choque";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"21/03/2025";"15:09:00";"116";"Sem vítima";"487,267";"BR-040/MG";"Decrescente";"Engavetamento";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"21/03/2025";"17:50:00";"132";"Com vítima";"96,400";"BR-040/GO";"Crescente";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"21/03/2025";"19:12:00";"135";"Sem vítima";"260,500";"BR-040/MG";"Decrescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"21/03/2025";"22:08:00";"154";"Com vítima";"395,450";"BR-040/MG";"Decrescente";"Colisão transversal";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
