data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"22/03/2025";"00:00:00";"42";"Sem vítima";"360,000";"BR-262/MG";"Decrescente";"Capotamento";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"23/03/2025";"08:52:00";"24";"Com vítima";"385,000";"BR-262/MG";"Decrescente";"Capotamento";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"23/03/2025";"15:00:00";"54";"Sem vítima";"595,000";"BR-262/MG";"Decrescente";"Saída de pista";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"23/03/2025";"15:04:00";"48";"Sem vítima";"381,000";"BR-262/MG";"Crescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"24/03/2025";"00:55:00";"7";"Sem vítima";"442,000";"BR-262/MG";"Crescente";"Capotamento";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"24/03/2025";"11:40:00";"35";"Sem vítima";"548,500";"BR-262/MG";"Decrescente";"Saída de pista";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"24/03/2025";"12:13:00";"34";"Sem vítima";"519,000";"BR-262/MG";"Decrescente";"Choque";0;0;0;1;0;0;0;0;0;0;3;0;0;0;0
"24/03/2025";"20:35:00";"54";"Com vítima";"802,000";"BR-262/MG";"Decrescente";"Capotamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"25/03/2025";"11:28:00";"39";"Com vítima";"568,000";"BR-262/MG";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"26/03/2025";"05:52:00";"14";"Sem vítima";"597,000";"BR-262/MG";"Crescente";"Tombamento";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"26/03/2025";"13:38:00";"38";"Sem vítima";"486,500";"BR-262/MG";"Crescente";"Colisão traseira";0;1;0;0;1;0;0;0;0;0;2;0;0;0;0
"26/03/2025";"18:23:00";"56";"Sem vítima";"442,000";"BR-262/MG";"Crescente";"Colisão traseira";0;0;1;1;0;0;0;0;0;0;4;0;0;0;0
"27/03/2025";"00:00:00";"46";"Com vítima";"544,000";"BR-262/MG";"Decrescente";"Colisão traseira";0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
"27/03/2025";"06:53:00";"13";"Sem vítima";"772,500";"BR-262/MG";"Crescente";"Colisão traseira";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"28/03/2025";"00:00:00";"9";"Sem vítima";"382,000";"BR-262/MG";"Decrescente";"Tombamento";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"28/03/2025";"15:49:00";"52";"Com vítima";"631,000";"BR-262/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
"29/03/2025";"12:58:00";"66";"Sem vítima";"462,000";"BR-262/MG";"Crescente";"Engavetamento";0;0;0;3;0;0;0;0;0;0;3;0;0;0;0
"29/03/2025";"21:26:00";"95";"Com vítima";"358,000";"BR-262/MG";"Decrescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"30/03/2025";"00:57:00";"78";"Sem vítima";"568,000";"BR-262/MG";"Crescente";"Capotamento";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"30/03/2025";"11:08:00";"33";"Com vítima";"379,000";"BR-262/MG";"Decrescente";"Queda de moto";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"30/03/2025";"15:22:00";"49";"Sem vítima";"588,000";"BR-262/MG";"Crescente";"Saída de pista";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"31/03/2025";"00:00:00";"50";"Com vítima";"698,000";"BR-262/MG";"Crescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"31/03/2025";"09:08:00";"21";"Sem vítima";"402,000";"BR-262/MG";"Decrescente";"Acidentes de outra natureza";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"31/03/2025";"20:27:00";"68";"Com vítima";"372,000";"BR-262/MG";"Crescente";"Colisão lateral no mesmo sentido";0;1;0;1;0;0;0;0;0;0;2;0;1;0;0
"01/04/2025";"16:49:00";"48";"Com vítima";"363,500";"BR-262/MG";"Decrescente";"Colisão traseira";0;0;0;3;0;0;0;0;0;0;0;3;0;0;0
"01/04/2025";"23:53:00";"60";"Sem vítima";"578,000";"BR-262/MG";"Decrescente";"Tombamento";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"02/04/2025";"00:00:00";"47";"Com vítima";"533,000";"BR-262/MG";"Crescente";"Colisão frontal";0;1;0;1;1;0;0;0;0;0;0;0;2;0;2
"02/04/2025";"06:44:00";"7";"Com vítima";"554,000";"BR-262/MG";"Decrescente";"Colisão frontal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"02/04/2025";"06:44:00";"14";"Sem vítima";"375,000";"BR-262/MG";"Decrescente";"Tombamento";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"02/04/2025";"10:30:00";"17";"Com vítima";"800,000";"BR-262/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;1;0;0;2;0;0;0;0;0;1;2;0;0;0
"02/04/2025";"10:32:00";"18";"Sem vítima";"509,000";"BR-262/MG";"Crescente";"Colisão transversal";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"02/04/2025";"21:26:00";"41";"Sem vítima";"665,000";"BR-262/MG";"Decrescente";"Choque";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"03/04/2025";"05:55:00";"4";"Com vítima";"671,500";"BR-262/MG";"Crescente";"Tombamento";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"03/04/2025";"10:03:00";"16";"Sem vítima";"384,000";"BR-262/MG";"Crescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"03/04/2025";"14:09:00";"30";"Sem vítima";"743,000";"BR-262/MG";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;1;1;0;0;0;0;0;2;0;0;0;0
"03/04/2025";"15:00:00";"31";"Sem vítima";"448,000";"BR-262/MG";"Decrescente";"Tombamento";0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
"04/04/2025";"00:00:00";"48";"Com vítima";"364,000";"BR-262/MG";"Decrescente";"Atropelamento de pedestre";0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
"04/04/2025";"07:43:00";"11";"Sem vítima";"376,000";"BR-262/MG";"Decrescente";"Colisão lateral no mesmo sentido";0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
"04/04/2025";"13:04:00";"35";"Com vítima";"425,000";"BR-262/MG";"Crescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"05/04/2025";"00:00:00";"1";"Com vítima";"600,000";"BR-262/MG";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"05/04/2025";"00:00:00";"25";"Sem vítima";"435,000";"BR-262/MG";"Decrescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"05/04/2025";"16:17:00";"49";"Sem vítima";"408,000";"BR-262/MG";"Decrescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;4;0;0;0;0
"05/04/2025";"20:09:00";"60";"Sem vítima";"458,000";"BR-262/MG";"Decrescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"06/04/2025";"13:23:00";"56";"Sem vítima";"362,700";"BR-262/MG";"Crescente";"Colisão traseira";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"06/04/2025";"17:34:00";"84";"Sem vítima";"580,000";"BR-262/MG";"Crescente";"Saída de pista";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"06/04/2025";"18:51:00";"88";"Com vítima";"460,000";"BR-262/MG";"Crescente";"Choque";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
